SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,0,4,indoor_syns_scene01,"StartLow",14
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,1,2,indoor_syns_scene02,"StartLow",12
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,2,1,indoor_syns_scene03,"StartLow",12
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,3,3,indoor_syns_scene04,"StartLow",11
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,4,5,indoor_syns_scene05,"StartLow",13
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,5,7,indoor_syns_scene06,"StartLow",8
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,6,9,indoor_syns_scene07,"StartLow",5
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,7,11,indoor_syns_scene08,"StartLow",13
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,8,13,indoor_syns_scene09,"StartLow",7
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,9,15,outdoor_syns_scene01,"StartLow",20
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,10,17,outdoor_syns_scene02,"StartLow",4
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,11,19,outdoor_syns_scene03,"StartLow",17
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,12,18,outdoor_syns_scene04,"StartLow",19
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,13,16,outdoor_syns_scene05,"StartLow",19
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,14,14,outdoor_syns_scene06,"StartLow",10
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,15,12,outdoor_syns_scene07,"StartLow",16
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,16,10,outdoor_syns_scene08,"StartLow",10
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,17,8,outdoor_syns_scene09,"StartLow",11
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,18,6,outdoor_syns_scene10,"StartLow",18
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,0,8,indoor_syns_scene01,"StartHigh",28
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,1,6,indoor_syns_scene02,"StartHigh",27
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,2,4,indoor_syns_scene03,"StartHigh",26
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,3,2,indoor_syns_scene04,"StartHigh",24
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,4,1,indoor_syns_scene05,"StartHigh",22
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,5,3,indoor_syns_scene06,"StartHigh",24
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,6,5,indoor_syns_scene07,"StartHigh",20
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,7,7,indoor_syns_scene08,"StartHigh",24
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,8,9,indoor_syns_scene09,"StartHigh",23
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,9,11,outdoor_syns_scene01,"StartHigh",34
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,10,13,outdoor_syns_scene02,"StartHigh",28
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,11,15,outdoor_syns_scene03,"StartHigh",32
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,12,17,outdoor_syns_scene04,"StartHigh",33
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,13,19,outdoor_syns_scene05,"StartHigh",34
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,14,18,outdoor_syns_scene06,"StartHigh",33
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,15,16,outdoor_syns_scene07,"StartHigh",32
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,16,14,outdoor_syns_scene08,"StartHigh",32
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,17,12,outdoor_syns_scene09,"StartHigh",28
11-session-2022-05-19-15-26-40.csv,2022-05-19-16-08-50,11,Testing,18,10,outdoor_syns_scene10,"StartHigh",27
