SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,0,18,indoor_syns_scene01,"StartHigh",39
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,1,19,indoor_syns_scene02,"StartHigh",38
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,2,17,indoor_syns_scene03,"StartHigh",38
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,3,15,indoor_syns_scene04,"StartHigh",36
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,4,13,indoor_syns_scene05,"StartHigh",35
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,5,11,indoor_syns_scene06,"StartHigh",38
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,6,9,indoor_syns_scene07,"StartHigh",36
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,7,7,indoor_syns_scene08,"StartHigh",36
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,8,5,indoor_syns_scene09,"StartHigh",38
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,9,3,outdoor_syns_scene01,"StartHigh",35
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,10,1,outdoor_syns_scene02,"StartHigh",37
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,11,2,outdoor_syns_scene03,"StartHigh",37
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,12,4,outdoor_syns_scene04,"StartHigh",35
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,13,6,outdoor_syns_scene05,"StartHigh",34
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,14,8,outdoor_syns_scene06,"StartHigh",39
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,15,10,outdoor_syns_scene07,"StartHigh",39
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,16,12,outdoor_syns_scene08,"StartHigh",39
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,17,14,outdoor_syns_scene09,"StartHigh",39
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,18,16,outdoor_syns_scene10,"StartHigh",36
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,0,14,indoor_syns_scene01,"StartLow",6
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,1,16,indoor_syns_scene02,"StartLow",2
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,2,18,indoor_syns_scene03,"StartLow",6
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,3,19,indoor_syns_scene04,"StartLow",5
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,4,17,indoor_syns_scene05,"StartLow",5
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,5,15,indoor_syns_scene06,"StartLow",4
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,6,13,indoor_syns_scene07,"StartLow",4
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,7,11,indoor_syns_scene08,"StartLow",6
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,8,9,indoor_syns_scene09,"StartLow",8
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,9,7,outdoor_syns_scene01,"StartLow",7
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,10,5,outdoor_syns_scene02,"StartLow",6
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,11,3,outdoor_syns_scene03,"StartLow",11
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,12,1,outdoor_syns_scene04,"StartLow",9
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,13,2,outdoor_syns_scene05,"StartLow",10
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,14,4,outdoor_syns_scene06,"StartLow",5
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,15,6,outdoor_syns_scene07,"StartLow",5
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,16,8,outdoor_syns_scene08,"StartLow",6
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,17,10,outdoor_syns_scene09,"StartLow",6
10-session-2022-05-18-16-15-41.csv,2022-05-18-16-30-03,10,Testing,18,12,outdoor_syns_scene10,"StartLow",5
