SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,0,17,indoor_syns_scene01,"StartHigh",34
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,1,15,indoor_syns_scene02,"StartHigh",29
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,2,13,indoor_syns_scene03,"StartHigh",36
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,3,11,indoor_syns_scene04,"StartHigh",38
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,4,9,indoor_syns_scene05,"StartHigh",38
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,5,7,indoor_syns_scene06,"StartHigh",35
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,6,5,indoor_syns_scene07,"StartHigh",34
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,7,3,indoor_syns_scene08,"StartHigh",36
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,8,1,indoor_syns_scene09,"StartHigh",31
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,9,2,outdoor_syns_scene01,"StartHigh",33
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,10,4,outdoor_syns_scene02,"StartHigh",33
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,11,6,outdoor_syns_scene03,"StartHigh",37
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,12,8,outdoor_syns_scene04,"StartHigh",35
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,13,10,outdoor_syns_scene05,"StartHigh",31
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,14,12,outdoor_syns_scene06,"StartHigh",36
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,15,14,outdoor_syns_scene07,"StartHigh",34
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,16,16,outdoor_syns_scene08,"StartHigh",36
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,17,18,outdoor_syns_scene09,"StartHigh",37
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,18,19,outdoor_syns_scene10,"StartHigh",37
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,0,18,indoor_syns_scene01,"StartLow",16
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,1,19,indoor_syns_scene02,"StartLow",15
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,2,17,indoor_syns_scene03,"StartLow",10
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,3,15,indoor_syns_scene04,"StartLow",9
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,4,13,indoor_syns_scene05,"StartLow",10
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,5,11,indoor_syns_scene06,"StartLow",19
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,6,9,indoor_syns_scene07,"StartLow",6
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,7,7,indoor_syns_scene08,"StartLow",24
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,8,5,indoor_syns_scene09,"StartLow",30
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,9,3,outdoor_syns_scene01,"StartLow",29
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,10,1,outdoor_syns_scene02,"StartLow",33
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,11,2,outdoor_syns_scene03,"StartLow",37
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,12,4,outdoor_syns_scene04,"StartLow",26
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,13,6,outdoor_syns_scene05,"StartLow",26
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,14,8,outdoor_syns_scene06,"StartLow",22
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,15,10,outdoor_syns_scene07,"StartLow",16
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,16,12,outdoor_syns_scene08,"StartLow",13
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,17,14,outdoor_syns_scene09,"StartLow",14
8-session-2022-05-18-13-10-05.csv,2022-05-18-13-43-33,8,Testing,18,16,outdoor_syns_scene10,"StartLow",24
