SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,0,3,indoor_syns_scene01,StartHigh,24
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,1,1,indoor_syns_scene02,StartHigh,20
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,2,2,indoor_syns_scene03,StartHigh,27
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,3,4,indoor_syns_scene04,StartHigh,17
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,4,6,indoor_syns_scene05,StartHigh,4
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,5,8,indoor_syns_scene06,StartHigh,19
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,6,10,indoor_syns_scene07,StartHigh,25
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,7,12,indoor_syns_scene08,StartHigh,13
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,8,14,indoor_syns_scene09,StartHigh,17
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,9,16,outdoor_syns_scene01,StartHigh,34
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,10,18,outdoor_syns_scene02,StartHigh,30
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,11,19,outdoor_syns_scene03,StartHigh,36
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,12,17,outdoor_syns_scene04,StartHigh,27
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,13,15,outdoor_syns_scene05,StartHigh,30
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,14,13,outdoor_syns_scene06,StartHigh,31
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,15,11,outdoor_syns_scene07,StartHigh,31
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,16,9,outdoor_syns_scene08,StartHigh,31
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,17,7,outdoor_syns_scene09,StartHigh,20
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,18,5,outdoor_syns_scene10,StartHigh,33
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,0,7,indoor_syns_scene01,StartLow,5
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,1,5,indoor_syns_scene02,StartLow,5
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,2,3,indoor_syns_scene03,StartLow,7
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,3,1,indoor_syns_scene04,StartLow,3
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,4,2,indoor_syns_scene05,StartLow,7
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,5,4,indoor_syns_scene06,StartLow,10
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,6,6,indoor_syns_scene07,StartLow,11
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,7,8,indoor_syns_scene08,StartLow,7
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,8,10,indoor_syns_scene09,StartLow,0
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,9,12,outdoor_syns_scene01,StartLow,0
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,10,14,outdoor_syns_scene02,StartLow,10
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,11,16,outdoor_syns_scene03,StartLow,18
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,12,18,outdoor_syns_scene04,StartLow,8
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,13,19,outdoor_syns_scene05,StartLow,9
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,14,17,outdoor_syns_scene06,StartLow,13
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,15,15,outdoor_syns_scene07,StartLow,15
20-session-2022-05-09-10-48-40.csv,2022-05-09-10-51-40,20,Testing,16,13,outdoor_syns_scene08,StartLow,9
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,17,11,outdoor_syns_scene09,StartLow,3
20-session-2022-05-09-10-14-03.csv,2022-05-09-10-46-57,20,Testing,18,9,outdoor_syns_scene10,StartLow,14
