SessionID,Timestamp,UserID,Phase,TrialID,StudyStepIndex,SceneName,Staircase,Answer
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,0,10,indoor_syns_scene01,"StartHigh",33
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,1,12,indoor_syns_scene02,"StartHigh",30
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,2,14,indoor_syns_scene03,"StartHigh",31
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,3,16,indoor_syns_scene04,"StartHigh",27
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,4,18,indoor_syns_scene05,"StartHigh",23
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,5,19,indoor_syns_scene06,"StartHigh",25
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,6,17,indoor_syns_scene07,"StartHigh",32
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,7,15,indoor_syns_scene08,"StartHigh",27
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,8,13,indoor_syns_scene09,"StartHigh",29
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,9,11,outdoor_syns_scene01,"StartHigh",33
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,10,9,outdoor_syns_scene02,"StartHigh",34
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,11,7,outdoor_syns_scene03,"StartHigh",33
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,12,5,outdoor_syns_scene04,"StartHigh",31
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,13,3,outdoor_syns_scene05,"StartHigh",32
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,14,1,outdoor_syns_scene06,"StartHigh",24
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,15,2,outdoor_syns_scene07,"StartHigh",34
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,16,4,outdoor_syns_scene08,"StartHigh",30
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,17,6,outdoor_syns_scene09,"StartHigh",35
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,18,8,outdoor_syns_scene10,"StartHigh",30
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,0,6,indoor_syns_scene01,"StartLow",16
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,1,8,indoor_syns_scene02,"StartLow",18
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,2,10,indoor_syns_scene03,"StartLow",15
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,3,12,indoor_syns_scene04,"StartLow",17
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,4,14,indoor_syns_scene05,"StartLow",17
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,5,16,indoor_syns_scene06,"StartLow",18
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,6,18,indoor_syns_scene07,"StartLow",22
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,7,19,indoor_syns_scene08,"StartLow",19
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,8,17,indoor_syns_scene09,"StartLow",19
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,9,15,outdoor_syns_scene01,"StartLow",24
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,10,13,outdoor_syns_scene02,"StartLow",25
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,11,11,outdoor_syns_scene03,"StartLow",23
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,12,9,outdoor_syns_scene04,"StartLow",23
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,13,7,outdoor_syns_scene05,"StartLow",22
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,14,5,outdoor_syns_scene06,"StartLow",11
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,15,3,outdoor_syns_scene07,"StartLow",12
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,16,1,outdoor_syns_scene08,"StartLow",20
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,17,2,outdoor_syns_scene09,"StartLow",15
14-session-2022-05-06-10-07-07.csv,2022-05-06-10-35-49,14,Testing,18,4,outdoor_syns_scene10,"StartLow",14
